candidate_id,robust,beats_control_3pct_gate,ending_capital,capital_delta_vs_control,capital_lift_vs_control,cagr,sharpe,maximum_drawdown,worst_fold_return,capital_rotations,market_exposure,cash_days,loss_avoided_by_cash_usd,profit_missed_by_cash_usd,net_cash_edge_usd,cash_intervention_sessions,absolute_entry_threshold,absolute_exit_discount,absolute_exit_threshold,cash_reentry_premium,minimum_risk_safety,minimum_horizon_agreement,reentry_confirmation_sessions,fold_1_return,fold_1_max_drawdown,fold_2_return,fold_2_max_drawdown,fold_3_return,fold_3_max_drawdown,is_control,rank
79,False,False,16702.660699693864,-1301653.6265605162,-0.9873306928778676,0.08882938461765444,0.9600384176902603,-0.054934597550003295,0.0,8,0.015141540487162607,1496,149663.9172887045,207954.65624126047,-58290.738952555956,1496,0.736755,0.111623,0.625132,0.07776,0.053858,0.311911,2,0.09156327598218827,-0.019543773119605423,0.0,0.0,0.5301596405086835,-0.054934597550003295,False,742
617,False,False,16684.616004622498,-1301671.6712555876,-0.9873443801452972,0.08863414756206334,0.6509141327685607,-0.20493264413558576,0.1033885119154021,196,0.26003949967083606,1124,123853.99061825147,181260.72927050895,-57406.73865225748,1124,0.45411,0.186238,0.267872,0.005998,0.299871,0.704337,2,0.1033885119154021,-0.20493264413558576,0.13665204755307814,-0.08912786306211784,0.330332556039737,-0.15464672324809647,False,743
868,False,False,16623.06315623634,-1301733.2241039737,-0.9873910692300166,0.0879668402987992,0.47507178159130775,-0.35765168945967063,-0.10011968035549612,91,0.25608953258722844,1130,92998.73140744095,140529.45155982114,-47530.72015238019,1130,0.641649,0.107635,0.534014,0.099983,0.041094,0.287211,2,-0.10011968035549612,-0.35765168945967063,0.0,0.0,0.8472526616431897,-0.21365812443506682,False,744
778,False,False,16618.25424667876,-1301738.0330135315,-0.9873947168855131,0.08791461915456722,0.8036273004421255,-0.11361714124612354,0.0,17,0.05069124423963134,1442,155246.73590516028,218557.29247344768,-63310.5565682874,1442,0.733964,0.252479,0.48148499999999994,0.082742,0.008877,0.717892,1,0.23386652520561824,-0.11361714124612354,0.0,0.0,0.34684375556014024,-0.10876296640346805,False,745
582,False,False,16529.01586962492,-1301827.2713905852,-0.9874624060056062,0.0869432628437361,0.7510356093956545,-0.15909323872669,0.0913532060095057,91,0.1672152732060566,1265,139196.35944863336,198636.09676198626,-59439.7373133529,1265,0.543097,0.253563,0.28953400000000007,0.035679,0.27915,0.382809,3,0.14060868906050006,-0.15909323872669,0.0913532060095057,-0.06457407901977641,0.3278376920070778,-0.11415606540734491,False,746
198,False,False,16526.550125487534,-1301829.7371347225,-0.9874642763225768,0.08691636127070868,0.8307722778447959,-0.11897176532209175,0.0,19,0.03554970375246873,1465,157528.88252861233,221003.0228134071,-63474.14028479476,1465,0.742774,0.204956,0.537818,0.052782,0.017153,0.061201,2,0.23530910205422728,-0.03371917463512841,0.0,0.0,0.3378473531851345,-0.10876296640346805,False,747
693,False,False,16514.72158673132,-1301841.5656734789,-0.9874732485092842,0.08678726388209079,0.6421257419781173,-0.20493264413558576,0.09111324047475011,190,0.25477287689269257,1132,122941.13658488578,179675.67121176235,-56734.53462687657,1132,0.484069,0.265132,0.21893700000000005,0.004342,0.298498,0.676569,2,0.09111324047475011,-0.20493264413558576,0.12720991192511977,-0.08912786306211784,0.34275454675533634,-0.15464672324809647,False,748
320,False,False,16471.142564203234,-1301885.144696007,-0.9875063040823104,0.08631097330345305,0.581127362409956,-0.21612014411468194,0.0,57,0.14088215931533904,1305,132178.0450292608,190393.17169779143,-58215.12666853063,1305,0.714555,0.197449,0.5171060000000001,0.025334,0.089783,0.43605,2,0.11290000827031266,-0.21612014411468194,0.0,0.0,0.48001998758208053,-0.13639111750249355,False,749
704,False,False,16370.045642027342,-1301986.2416181827,-0.9875829881495485,0.08520198848888194,0.5320557512346996,-0.238924646812949,0.0,58,0.1421988150098749,1303,130880.7900912862,188947.2162737298,-58066.42618244361,1303,0.732607,0.238579,0.494028,0.023782,0.062696,0.187249,2,0.14781177031468218,-0.21612014411468194,0.0,0.0,0.4261960075160538,-0.14985527672936627,False,750
394,False,False,16332.37740148042,-1302023.9098587297,-0.9876115602744823,0.0847873248528308,0.46350181772406635,-0.2876300980875198,-0.04292430228526578,100,0.2587228439763002,1126,99100.25417747715,150667.40178804626,-51567.14761056911,1126,0.673503,0.201712,0.47179099999999996,0.085717,0.059084,0.328142,1,-0.0031588228437176014,-0.2876300980875198,-0.04292430228526578,-0.10444360045575374,0.7118950999329399,-0.1440905516142762,False,751
